,Si,Gu,Location,Lat,Lon
0,서울시,중구,Namsan,37.55615556,127.00525
1,서울시,은평구,Yeonsinnae station,37.61976111,126.9219472
2,서울시,서초구,Gangnam Express Bus Terminal,37.50180278,127.0049278
3,서울시,송파구,Jamsil Sports Complex,37.51645833,127.0742992
4,서울시,강서구,Gimpo Airport,37.56365833,126.8312833
5,용인시,수지구,Jukjeon  station,37.32503889,127.1066
6,성남시,분당구,Pangyo,37.39435556,127.1123722
7,안양시,동안구,Anyang City Hall,37.39059722,126.9503139
8,광명시,,Gwangmyeong City Hall,37.478475,126.8646667
9,경기도,수원시 영통구,East Suwon,37.255925,127.0597917
